,A1,A2,D1,B1,B2,C1,C2
32223,2.58,0.91,0.0,3.5,-2.65,0.37,0.84
32224,1.1,0.36,0.0,1.01,0.57,1.63,1.58
32225,3.14,0.66,1.0,3.51,3.03,5.76,6.54
32226,2.23,-1.01,0.0,2.19,-1.07,1.74,1.12
32227,2.72,-0.64,1.0,2.42,0.07,3.65,2.48
32228,0.28,-1.21,0.0,-0.9,-0.08,-1.88,-0.98
32229,3.67,1.54,1.0,3.73,4.26,9.23,7.98
32230,1.98,0.33,0.0,1.85,0.26,2.38,2.1
32231,0.14,0.21,1.0,0.62,-0.0,2.22,0.62
32232,0.97,-0.77,1.0,0.31,-0.62,-0.14,-0.31
32233,1.34,0.72,1.0,1.53,-0.51,2.42,1.01
32234,2.08,-1.19,0.0,1.74,-4.36,-3.13,-2.62
32235,2.17,1.2,1.0,2.45,1.15,2.57,3.59
32236,1.53,-0.3,1.0,1.72,0.92,4.28,2.65
32237,2.96,-0.9,1.0,2.91,2.39,6.67,5.3
32238,3.04,-0.93,1.0,1.56,0.33,2.78,1.89
32239,2.94,2.25,1.0,5.91,6.62,11.45,12.53
32240,3.35,-0.03,1.0,2.08,0.11,1.63,2.2
32241,0.88,0.82,1.0,2.57,0.29,3.1,2.85
32242,1.85,-0.88,1.0,0.31,-3.23,-1.94,-2.92
32243,2.44,1.34,1.0,2.71,0.18,2.08,2.89
32244,3.21,-0.57,1.0,3.88,-2.48,1.56,1.39
32245,0.79,-0.02,1.0,-0.12,-0.01,-0.55,-0.13
32246,0.34,-0.35,0.0,-0.29,0.08,-0.12,-0.2
32247,2.2,0.63,1.0,0.65,0.76,2.07,1.41
32248,3.64,-0.75,1.0,3.32,-3.04,-1.0,0.27
32249,2.7,-1.15,1.0,3.3,0.42,3.43,3.72
32250,1.6,0.01,1.0,1.17,0.02,0.52,1.19
32251,2.07,-1.28,1.0,1.38,-2.52,-2.07,-1.15
32252,1.36,-0.21,1.0,0.49,-0.15,1.5,0.34
32253,3.67,-0.23,1.0,2.2,-0.6,2.18,1.6
32254,0.68,0.91,1.0,1.79,-0.31,3.1,1.48
32255,1.34,2.03,1.0,3.1,1.43,2.88,4.52
32256,2.1,1.02,1.0,3.03,-1.07,0.55,1.95
32257,3.31,-0.45,1.0,0.54,0.36,-0.45,0.9
32258,0.25,-0.94,1.0,-0.69,0.0,0.4,-0.69
32259,0.97,0.52,1.0,0.87,-0.27,0.09,0.61
32260,1.13,0.42,1.0,1.15,-0.12,2.03,1.04
32261,3.65,-0.32,1.0,4.27,0.41,5.06,4.68
32262,2.26,-0.94,1.0,2.56,0.19,3.28,2.76
32263,3.07,-0.36,1.0,3.5,-1.03,2.85,2.48
32264,2.23,0.18,1.0,1.18,-0.45,2.71,0.73
32265,1.46,-0.77,1.0,1.63,-0.28,1.57,1.35
32266,1.55,0.41,1.0,3.56,1.35,5.72,4.9
32267,0.52,-1.68,1.0,-0.44,0.26,-1.28,-0.18
32268,1.3,-0.64,1.0,0.13,0.98,2.55,1.11
32269,2.07,-0.87,1.0,1.81,0.21,0.47,2.02
32270,1.41,0.11,1.0,2.02,-0.04,1.38,1.98
32271,2.02,-0.53,1.0,1.47,-0.16,2.45,1.31
32272,1.45,-1.0,1.0,1.33,-0.96,2.43,0.37
32273,2.71,1.06,0.0,3.96,3.35,8.03,7.31
32274,1.93,-0.22,1.0,3.05,0.51,3.69,3.56
32275,1.88,-0.12,1.0,1.48,-0.35,1.49,1.13
32276,3.74,-0.69,0.0,2.41,-0.27,2.46,2.15
32277,3.8,1.41,1.0,5.37,-0.29,6.13,5.07
32278,2.14,-0.17,1.0,3.26,0.1,3.98,3.37
32279,2.8,-0.29,1.0,3.01,1.05,3.84,4.06
32280,0.83,0.49,1.0,0.7,0.16,0.48,0.86
32281,2.08,-0.39,1.0,2.87,-0.07,1.97,2.81
32282,1.46,-1.15,1.0,0.38,-0.01,-0.01,0.38
32283,1.43,0.05,1.0,2.56,-0.04,3.24,2.52
32284,2.53,-0.46,1.0,3.21,1.37,5.91,4.57
32285,1.17,1.66,1.0,2.13,2.15,3.84,4.28
32286,2.31,-0.55,0.0,1.7,-0.33,2.05,1.36
32287,3.01,-0.17,1.0,2.07,1.0,2.88,3.07
32288,2.47,0.21,1.0,3.04,-0.13,2.02,2.91
32289,2.89,-1.0,0.0,3.55,-7.15,-3.69,-3.6
32290,2.48,0.66,0.0,5.1,-1.83,2.86,3.27
32291,1.9,-0.94,1.0,1.59,-0.08,1.86,1.51
32292,1.42,0.17,0.0,3.48,0.15,3.25,3.62
32293,0.95,-0.82,0.0,0.41,0.06,2.01,0.47
32294,0.95,-0.32,1.0,2.45,0.27,1.62,2.72
32295,2.38,2.04,0.0,5.15,-3.65,1.08,1.5
32296,3.42,-1.58,1.0,1.91,-2.2,-0.17,-0.29
32297,3.59,0.15,0.0,3.32,-0.21,3.33,3.11
32298,3.29,0.21,1.0,2.29,-0.05,1.41,2.24
32299,0.84,-0.43,1.0,0.58,0.37,2.11,0.95
32300,1.1,-0.42,1.0,-2.09,0.09,-4.67,-2.0
32301,3.63,0.98,0.0,4.41,0.54,6.62,4.95
32302,0.99,-0.14,0.0,0.56,0.13,0.37,0.68
32303,2.96,0.03,0.0,3.61,0.04,2.01,3.64
32304,2.17,0.72,1.0,3.34,1.87,4.97,5.21
32305,1.91,-1.3,1.0,0.91,-1.54,0.23,-0.63
32306,2.27,-1.48,1.0,0.41,-1.33,-0.79,-0.91
32307,0.71,0.0,1.0,0.77,0.0,1.62,0.77
32308,1.59,0.2,1.0,1.82,-0.43,0.89,1.39
32309,2.27,-0.41,1.0,1.19,0.56,3.82,1.76
32310,2.23,-1.64,1.0,0.6,5.72,4.74,6.32
32311,1.79,-2.19,1.0,-0.37,3.8,2.62,3.43
32312,3.3,0.94,0.0,4.47,1.45,7.6,5.92
32313,2.16,0.03,1.0,4.02,0.06,3.43,4.08
32314,1.97,-0.22,0.0,1.43,0.27,1.76,1.7
32315,1.44,0.81,1.0,2.01,1.88,4.4,3.89
32316,2.74,0.34,1.0,3.56,0.45,3.48,4.0
32317,2.16,-1.15,0.0,1.96,-1.93,1.14,0.03
32318,0.56,1.52,1.0,0.96,-0.33,0.52,0.63
32319,0.76,1.22,1.0,1.02,-1.65,0.03,-0.62
32320,1.99,0.21,1.0,2.66,-0.2,2.49,2.45
32321,2.07,1.28,0.0,2.01,1.55,2.28,3.56
32322,2.47,0.52,1.0,3.04,0.34,2.31,3.37
32323,2.7,-0.56,0.0,1.57,-3.49,-1.16,-1.92
32324,2.34,-1.15,1.0,2.89,2.25,4.23,5.14
32325,2.52,0.74,0.0,2.19,-1.88,-0.73,0.32
32326,3.27,-1.06,1.0,2.38,3.08,6.01,5.46
32327,1.27,-0.14,0.0,1.99,0.18,2.34,2.17
32328,2.09,0.89,1.0,1.39,0.82,1.17,2.21
32329,1.58,1.27,1.0,2.68,-1.2,1.66,1.49
32330,1.39,1.46,0.0,2.91,-3.27,-0.62,-0.36
32331,3.14,1.01,0.0,4.54,-0.87,4.87,3.67
32332,2.2,0.94,0.0,3.32,0.78,2.31,4.1
32333,1.63,-1.07,1.0,0.74,1.18,2.1,1.92
32334,1.85,0.42,1.0,1.55,0.8,2.8,2.36
32335,3.09,-0.25,1.0,4.43,-0.95,4.52,3.48
32336,3.23,0.38,1.0,4.76,1.02,4.04,5.78
32337,0.27,-1.09,1.0,-2.03,0.38,-3.22,-1.64
32338,0.95,-0.07,1.0,1.74,0.06,3.17,1.8
32339,0.92,-1.65,1.0,0.91,1.54,1.97,2.45
32340,2.47,0.23,1.0,2.88,0.38,3.43,3.26
32341,3.05,1.56,1.0,5.73,-1.33,4.56,4.4
32342,1.99,0.58,1.0,1.22,0.04,0.31,1.26
32343,2.05,1.38,1.0,3.32,3.03,7.36,6.35
32344,2.34,0.78,1.0,3.6,2.97,6.23,6.57
32345,1.65,0.04,0.0,0.46,0.05,-2.4,0.5
32346,2.63,0.06,1.0,2.1,-0.25,2.29,1.85
32347,1.09,0.83,1.0,1.15,0.63,0.8,1.78
32348,2.68,-0.27,1.0,3.09,-0.39,3.62,2.69
32349,3.04,-0.64,1.0,3.38,-1.25,1.89,2.14
32350,1.77,0.02,1.0,0.83,-0.09,0.28,0.75
32351,3.43,-1.22,1.0,1.79,5.26,6.68,7.04
32352,1.84,0.75,0.0,3.14,-2.21,0.81,0.93
32353,1.17,0.92,1.0,0.95,0.54,1.05,1.48
32354,3.37,0.5,1.0,2.58,-5.45,-2.45,-2.87
32355,1.78,-1.23,1.0,-0.68,-0.5,-1.64,-1.18
32356,3.5,-0.53,0.0,3.21,0.03,3.35,3.24
32357,2.83,-0.68,1.0,1.97,-0.11,0.91,1.86
32358,0.11,-0.01,1.0,1.3,-0.0,1.22,1.3
32359,2.55,0.82,1.0,4.09,-0.46,4.65,3.63
32360,1.82,-1.0,1.0,-0.16,-0.32,1.09,-0.48
32361,3.59,0.01,1.0,3.11,-0.0,2.25,3.1
32362,1.61,-3.16,1.0,0.84,-8.61,-7.81,-7.78
32363,1.46,1.2,1.0,2.92,0.28,1.98,3.2
32364,1.56,-0.56,1.0,0.54,0.66,0.82,1.2
32365,1.82,-1.01,1.0,0.71,0.28,2.8,0.99
32366,0.7,0.0,1.0,2.32,0.0,1.96,2.32
32367,3.37,0.13,1.0,1.91,-0.31,1.2,1.6
32368,1.74,1.11,0.0,1.88,1.36,3.63,3.24
32369,2.14,0.92,1.0,4.39,0.21,5.36,4.6
32370,0.87,0.32,1.0,1.28,0.03,2.76,1.32
32371,3.23,-0.72,1.0,3.06,0.94,4.7,4.0
32372,0.9,-0.02,1.0,1.9,0.02,1.79,1.92
32373,2.96,-0.95,0.0,0.55,-0.82,-1.28,-0.27
32374,1.64,-1.2,1.0,3.5,-4.09,2.5,-0.59
32375,2.53,-2.28,0.0,0.88,0.48,2.05,1.36
32376,1.02,-0.53,1.0,-0.93,-0.27,-1.37,-1.2
32377,1.29,0.51,1.0,3.29,-0.77,4.64,2.52
32378,3.18,1.89,1.0,4.42,-7.0,-2.95,-2.58
32379,-1.09,-1.91,1.0,-2.41,2.02,-0.57,-0.39
32380,3.14,-0.68,1.0,3.31,0.45,3.51,3.76
32381,3.12,0.85,1.0,3.32,-1.61,2.23,1.71
32382,2.63,-0.35,0.0,1.11,-0.68,-1.3,0.43
32383,4.1,1.41,1.0,5.98,6.62,13.09,12.59
32384,0.44,-0.92,0.0,1.71,0.21,1.27,1.92
32385,1.22,-0.04,1.0,1.13,0.04,2.99,1.17
32386,2.82,-0.23,1.0,2.56,-0.82,1.54,1.75
32387,3.39,0.49,1.0,4.61,0.98,4.55,5.59
32388,0.91,-0.12,1.0,0.47,-0.08,-0.44,0.39
32389,1.71,-1.55,0.0,-1.34,-2.72,-5.25,-4.06
32390,2.3,0.55,1.0,4.28,0.22,5.02,4.5
32391,1.64,-0.11,0.0,1.33,0.09,0.09,1.42
32392,1.42,-0.26,0.0,1.64,0.15,1.93,1.79
32393,1.66,-0.65,0.0,0.77,-0.63,1.94,0.15
32394,0.22,0.76,0.0,2.43,-0.08,1.68,2.35
32395,3.16,-0.14,1.0,0.67,0.27,1.32,0.95
32396,1.05,-0.08,1.0,0.88,-0.04,0.37,0.84
32397,-0.01,-1.51,1.0,-3.02,0.02,-3.32,-3.0
32398,2.7,-2.37,1.0,1.42,-1.33,1.25,0.09
32399,3.19,-0.63,1.0,3.09,-3.27,0.41,-0.19
32400,2.81,-1.31,0.0,-0.09,3.34,3.33,3.25
32401,5.06,-0.38,1.0,4.59,2.63,6.21,7.22
32402,2.8,0.49,0.0,3.65,0.53,5.97,4.18
32403,3.65,-0.85,1.0,3.28,0.62,3.93,3.9
32404,2.48,0.84,1.0,3.32,-1.78,0.8,1.54
32405,1.43,-0.3,1.0,0.92,-0.25,1.66,0.66
32406,2.55,0.0,1.0,1.96,-0.0,1.34,1.96
32407,2.47,-0.8,1.0,1.2,-1.32,-1.81,-0.12
32408,1.9,1.85,1.0,4.62,-2.06,-0.45,2.56
32409,1.75,-1.03,1.0,-0.88,-1.9,-1.29,-2.79
32410,1.72,-0.49,1.0,1.45,1.45,3.67,2.9
32411,1.56,-1.01,1.0,2.33,-0.53,2.61,1.8
32412,2.77,0.79,1.0,3.51,0.39,5.32,3.9
32413,1.05,2.33,0.0,2.11,2.74,3.53,4.85
32414,0.82,2.09,1.0,5.21,2.98,7.61,8.19
32415,2.18,1.35,1.0,4.19,2.4,4.69,6.59
32416,1.43,0.77,1.0,2.85,-0.74,3.46,2.11
32417,3.38,1.12,1.0,2.75,-3.14,-0.3,-0.39
32418,2.0,-0.24,1.0,0.81,0.32,0.05,1.13
32419,0.47,-0.5,1.0,0.99,0.21,2.03,1.2
32420,-0.35,1.36,1.0,0.94,-0.66,-1.96,0.29
32421,0.69,-0.04,1.0,-0.77,0.03,-0.22,-0.75
32422,3.18,0.56,1.0,4.38,-2.22,1.43,2.16
32423,2.53,-1.39,1.0,0.86,0.14,0.37,1.0
32424,2.53,0.05,1.0,3.28,0.06,2.42,3.33
32425,3.23,-0.57,1.0,4.13,0.65,5.75,4.78
32426,2.61,-1.98,1.0,1.33,3.45,5.25,4.78
32427,2.29,0.99,0.0,2.83,-2.87,0.55,-0.03
32428,1.06,-0.16,0.0,1.65,0.05,1.25,1.7
32429,1.61,-0.87,1.0,1.49,0.91,2.4,2.4
32430,1.6,1.44,1.0,3.33,0.22,2.32,3.55
32431,4.06,0.73,1.0,4.93,-2.48,2.95,2.45
32432,0.65,1.35,1.0,1.84,0.64,2.49,2.49
32433,0.39,-1.18,0.0,-0.73,0.04,-0.68,-0.69
32434,2.62,-0.01,1.0,2.18,0.02,2.44,2.2
32435,1.27,-0.63,1.0,1.2,1.07,2.35,2.28
32436,1.63,0.21,1.0,2.31,-0.09,3.36,2.22
32437,2.29,-0.73,1.0,2.14,2.8,6.14,4.94
32438,1.75,-0.89,1.0,1.33,-1.82,-0.09,-0.5
32439,1.59,2.28,0.0,5.07,-3.71,1.7,1.35
32440,0.79,-1.23,1.0,0.92,-0.74,0.16,0.18
32441,3.21,-0.66,1.0,2.02,2.72,5.54,4.74
32442,1.99,0.5,1.0,3.64,-0.93,1.64,2.71
32443,2.2,-1.96,0.0,-1.35,-3.04,-3.81,-4.39
32444,1.51,0.83,1.0,3.53,1.92,5.21,5.45
32445,4.06,0.41,1.0,4.73,-0.15,4.66,4.58
32446,3.93,-0.42,0.0,5.1,2.64,8.33,7.75
32447,2.71,-0.43,0.0,1.34,-1.24,1.13,0.1
32448,1.73,0.2,1.0,1.67,-0.47,-0.28,1.2
32449,3.03,-1.35,1.0,-0.55,-7.98,-8.6,-8.53
32450,2.67,0.28,1.0,3.5,0.24,3.36,3.75
32451,2.42,-0.53,1.0,2.25,-0.13,2.16,2.12
32452,1.21,-1.35,1.0,-0.02,0.11,1.09,0.08
32453,2.2,-0.45,0.0,2.67,0.05,3.26,2.73
32454,1.31,-0.96,1.0,-0.75,-1.08,-0.55,-1.83
32455,1.46,-0.4,1.0,-0.46,0.66,-0.58,0.2
32456,1.19,-0.21,0.0,-0.69,0.24,0.1,-0.45
32457,2.92,0.69,1.0,2.7,1.03,5.39,3.73
32458,4.7,0.28,1.0,5.83,-0.02,6.79,5.81
32459,0.58,1.25,1.0,1.09,-0.1,0.73,0.99
32460,3.05,-0.7,1.0,2.05,-2.03,0.08,0.02
32461,2.21,-0.54,1.0,2.56,1.49,3.82,4.05
32462,1.85,-1.01,1.0,-0.02,0.86,0.73,0.84
32463,0.9,0.64,0.0,2.2,-0.77,1.33,1.43
32464,2.47,0.46,1.0,3.11,-0.03,2.81,3.08
32465,2.33,-0.99,1.0,1.18,4.3,7.06,5.48
32466,1.12,-0.41,1.0,1.02,0.05,0.94,1.07
32467,1.88,0.73,1.0,2.13,2.75,5.67,4.89
32468,2.09,-0.13,1.0,2.27,0.23,3.58,2.5
32469,1.73,-0.52,1.0,0.94,1.12,1.63,2.07
32470,2.23,1.03,1.0,5.0,0.75,4.55,5.75
32471,2.01,1.5,1.0,1.75,-3.41,-1.68,-1.67
32472,2.63,-1.64,0.0,0.99,-2.79,-2.01,-1.8
32473,1.8,1.17,0.0,3.41,-0.14,1.74,3.27
32474,1.87,0.86,1.0,3.1,-0.33,3.56,2.77
32475,2.14,0.08,1.0,1.9,-0.21,1.84,1.69
32476,1.37,-0.48,0.0,1.23,0.12,1.04,1.35
32477,2.75,2.31,1.0,5.56,1.52,7.78,7.08
32478,0.51,-0.23,1.0,0.24,-0.23,0.3,0.02
32479,3.02,-0.05,1.0,2.29,0.18,2.7,2.47
32480,1.13,-0.39,1.0,0.97,-0.39,0.94,0.58
32481,4.89,-0.2,1.0,3.19,-2.89,0.58,0.3
32482,3.45,-0.08,1.0,4.68,0.13,3.27,4.81
32483,3.08,0.5,1.0,2.14,1.29,4.03,3.43
32484,0.31,1.56,0.0,2.1,-0.36,3.35,1.75
32485,2.42,1.36,1.0,3.61,0.66,4.94,4.27
32486,1.56,-0.64,1.0,1.14,-0.02,1.94,1.12
32487,1.98,-1.87,1.0,2.87,-3.82,0.62,-0.95
32488,2.46,1.23,0.0,3.75,-0.17,4.24,3.58
32489,4.88,1.11,1.0,6.71,-1.8,5.35,4.91
32490,0.94,0.19,1.0,2.13,0.17,2.96,2.3
32491,0.67,0.4,0.0,2.83,-0.37,2.97,2.46
32492,0.43,1.16,1.0,1.92,0.71,1.72,2.63
32493,2.71,0.75,1.0,5.2,-1.75,5.02,3.45
32494,2.14,-0.89,1.0,1.6,1.15,3.53,2.75
32495,2.67,-0.71,1.0,-2.08,2.18,-0.69,0.1
32496,0.61,-0.16,1.0,1.21,0.17,1.26,1.39
32497,0.79,0.08,1.0,2.48,-0.0,3.06,2.48
32498,3.77,-0.15,0.0,3.72,0.14,3.58,3.86
32499,2.27,0.51,1.0,3.28,0.97,2.6,4.25
32500,1.83,-0.82,1.0,2.11,-0.22,2.05,1.89
32501,2.69,-0.63,1.0,3.44,0.98,3.65,4.42
32502,3.67,0.11,0.0,4.23,0.08,5.02,4.31
32503,1.52,-1.07,1.0,0.98,-0.53,-0.91,0.45
32504,3.6,0.38,1.0,2.32,-0.51,2.85,1.81
32505,1.84,-0.43,1.0,2.05,0.42,2.75,2.47
32506,2.98,1.35,1.0,4.66,-3.94,3.04,0.72
32507,1.18,-1.39,1.0,0.29,-0.62,-1.14,-0.32
32508,-0.56,-0.54,1.0,-0.73,0.19,-0.04,-0.54
32509,2.15,-0.18,0.0,1.94,-0.11,3.08,1.83
32510,1.5,-1.36,1.0,-1.26,-4.3,-6.62,-5.56
32511,3.25,2.05,0.0,6.03,15.43,21.43,21.46
32512,0.72,0.56,1.0,1.62,-0.08,1.77,1.53
32513,1.62,0.07,0.0,0.3,0.03,0.61,0.32
32514,0.56,-1.53,1.0,-0.69,0.83,1.78,0.13
32515,3.25,0.46,1.0,1.94,0.51,2.22,2.45
32516,2.14,-1.24,0.0,-0.11,4.65,4.06,4.54
32517,1.7,-0.62,1.0,1.12,0.15,-0.41,1.28
32518,-0.31,-1.6,0.0,-1.05,-0.32,-1.64,-1.37
32519,2.21,1.21,1.0,2.73,0.13,1.61,2.86
32520,3.07,0.25,1.0,4.94,-0.04,5.03,4.9
32521,3.07,-1.19,1.0,1.35,5.48,7.03,6.82
32522,2.16,-0.18,1.0,2.57,0.2,2.79,2.77
32523,1.63,1.53,1.0,3.81,1.39,4.45,5.21
32524,0.51,-0.54,1.0,-0.11,-0.1,-3.62,-0.21
32525,2.73,-0.56,1.0,2.61,3.05,6.62,5.66
32526,3.35,-1.66,1.0,2.02,14.41,15.92,16.44
32527,2.42,0.72,1.0,2.15,0.08,2.67,2.24
32528,1.7,-0.64,1.0,2.08,0.72,2.69,2.8
32529,0.55,-1.18,1.0,-1.26,-1.49,-2.56,-2.75
32530,3.67,0.09,1.0,3.29,-0.23,3.56,3.06
32531,2.34,0.08,1.0,1.18,0.03,0.6,1.2
32532,1.25,0.71,1.0,0.28,-0.19,0.93,0.09
32533,2.58,-1.23,1.0,2.59,2.28,5.37,4.86
32534,0.71,0.69,1.0,0.07,0.05,-0.84,0.13
32535,3.58,0.31,1.0,4.34,-0.54,4.24,3.8
32536,1.92,-0.22,0.0,3.79,-0.46,4.54,3.33
32537,2.8,0.21,0.0,0.78,-1.02,-0.25,-0.24
32538,2.66,-1.93,1.0,0.6,-1.32,0.61,-0.72
32539,1.37,-1.8,0.0,-0.19,1.45,1.15,1.26
32540,2.28,-0.39,1.0,0.05,0.47,2.36,0.52
32541,-0.24,1.89,1.0,2.92,0.11,3.83,3.04
32542,1.58,0.46,1.0,2.57,0.52,2.17,3.09
32543,2.56,1.22,1.0,4.46,-0.8,3.33,3.66
32544,1.66,-0.55,1.0,1.42,-1.18,-0.28,0.24
32545,1.64,-1.63,1.0,1.48,-2.73,-0.95,-1.25
32546,1.86,1.3,1.0,1.77,-2.47,-0.2,-0.7
32547,3.49,0.84,1.0,4.88,-0.93,3.93,3.95
32548,2.46,-0.43,1.0,1.18,0.64,2.34,1.82
32549,0.28,-1.43,1.0,-0.29,0.23,0.08,-0.06
32550,1.84,-0.21,1.0,1.7,0.64,2.02,2.34
32551,1.64,-0.8,1.0,1.51,-1.03,0.68,0.48
32552,2.31,-0.47,1.0,1.03,-1.07,-0.53,-0.04
32553,1.25,-0.81,1.0,1.18,1.73,3.13,2.91
32554,1.74,-0.23,0.0,0.81,-0.49,0.39,0.31
32555,3.36,0.22,1.0,4.99,0.81,5.38,5.8
32556,3.05,0.91,0.0,4.17,-0.52,3.8,3.65
32557,1.8,1.88,1.0,2.13,3.33,5.74,5.46
32558,4.64,0.49,1.0,6.03,-4.13,1.16,1.9
32559,2.54,0.55,1.0,4.23,0.45,6.22,4.68
32560,2.01,-2.52,1.0,-2.09,3.97,0.87,1.88
32561,2.56,0.89,1.0,4.18,-1.03,2.8,3.15
32562,1.41,0.51,0.0,2.47,0.62,3.95,3.09
32563,1.74,-0.13,1.0,2.78,-0.04,1.52,2.75
32564,0.86,0.64,1.0,0.7,0.23,-0.51,0.92
32565,1.42,1.32,1.0,3.6,-0.91,2.91,2.69
32566,3.62,-0.01,1.0,4.15,-0.03,4.12,4.12
32567,2.11,-0.72,1.0,0.54,-1.3,-1.91,-0.76
32568,0.21,0.22,1.0,0.0,-0.03,1.09,-0.03
32569,1.04,-0.54,1.0,1.51,1.32,3.48,2.83
32570,2.31,0.69,1.0,2.48,3.5,4.58,5.98
32571,2.38,-1.71,1.0,1.41,3.84,5.08,5.25
32572,1.96,0.04,0.0,3.14,0.03,3.6,3.17
32573,2.24,-0.73,0.0,1.09,0.72,1.36,1.81
32574,2.74,-0.94,0.0,2.04,0.64,3.08,2.68
32575,2.32,0.9,1.0,3.44,2.87,7.16,6.32
32576,2.03,-0.46,1.0,2.27,0.63,3.18,2.9
32577,0.07,-0.19,1.0,-1.02,-0.01,-2.05,-1.03
32578,1.89,0.74,0.0,3.82,1.45,4.14,5.28
32579,2.15,0.77,1.0,4.48,-4.22,2.67,0.26
32580,0.87,2.09,0.0,3.58,-3.2,-0.34,0.38
32581,2.57,0.45,0.0,1.43,-1.94,0.03,-0.51
32582,0.93,-2.05,1.0,-1.82,-2.87,-3.64,-4.69
32583,2.01,-0.27,1.0,2.3,0.36,4.23,2.66
32584,0.8,-1.15,0.0,-0.03,-0.8,-2.56,-0.83
32585,3.29,-0.93,1.0,3.61,1.28,4.19,4.89
32586,0.41,0.38,0.0,1.27,0.18,0.28,1.45
32587,3.27,-0.6,1.0,3.52,-2.43,-0.41,1.09
32588,2.74,1.02,1.0,3.47,1.22,4.18,4.69
32589,3.35,-0.39,1.0,3.3,-1.1,2.21,2.2
32590,3.23,0.58,1.0,4.03,1.06,5.49,5.1
32591,1.7,0.47,0.0,1.69,-0.52,1.98,1.17
32592,2.27,-1.48,1.0,0.87,-3.8,-3.33,-2.93
32593,1.83,0.39,0.0,2.98,0.41,2.06,3.39
32594,2.02,0.66,0.0,2.64,-0.59,1.62,2.05
32595,2.97,0.91,1.0,2.05,-1.62,1.46,0.43
32596,1.52,-0.2,0.0,1.34,0.04,2.39,1.38
32597,1.13,1.51,1.0,1.48,1.09,2.57,2.57
32598,2.34,-1.4,1.0,0.44,1.64,1.55,2.08
32599,2.28,-1.39,1.0,3.3,-1.71,1.75,1.59
32600,2.35,0.56,1.0,3.06,-0.36,3.72,2.7
32601,-0.41,-0.07,1.0,-2.53,-0.02,-3.33,-2.55
32602,2.08,1.41,1.0,2.77,-0.42,2.58,2.36
32603,0.65,0.44,0.0,3.02,-0.56,3.82,2.46
32604,0.47,-1.83,1.0,-1.68,-0.11,-1.26,-1.79
32605,0.78,0.89,1.0,1.97,0.46,3.16,2.43
32606,0.49,-0.93,1.0,-0.8,-0.18,-2.17,-0.98
32607,1.77,-0.3,1.0,0.02,-0.22,-0.15,-0.2
32608,1.32,-1.6,1.0,-3.02,-0.8,-5.2,-3.83
32609,-0.68,-0.7,1.0,-0.56,0.47,-0.85,-0.1
32610,-0.06,1.07,1.0,1.14,-0.04,-0.61,1.1
32611,3.69,1.59,1.0,7.36,-5.16,2.37,2.2
32612,1.09,-1.83,0.0,-0.77,1.1,0.72,0.33
32613,3.08,-0.15,1.0,3.51,-0.63,1.81,2.88
32614,1.71,-0.08,1.0,1.92,0.13,4.63,2.05
32615,4.36,0.96,1.0,5.19,-3.71,-0.02,1.48
32616,3.44,2.16,1.0,5.14,2.81,7.38,7.96
32617,3.39,-0.81,1.0,2.21,-1.65,1.09,0.56
32618,1.84,-0.41,1.0,3.53,-0.96,2.97,2.57
32619,1.82,0.44,1.0,3.26,0.11,4.39,3.36
32620,1.48,-0.2,0.0,1.04,-0.27,0.67,0.76
32621,2.91,0.53,1.0,3.91,1.09,3.61,5.01
32622,1.8,0.4,1.0,1.91,0.72,3.63,2.63
32623,2.01,0.46,1.0,2.9,-0.9,2.55,2.0
32624,1.33,-0.55,1.0,2.89,-0.24,1.62,2.66
32625,2.48,-0.42,1.0,2.32,0.02,2.1,2.34
32626,1.35,0.55,1.0,0.95,-0.89,1.13,0.07
32627,2.43,-0.59,1.0,1.48,-0.78,-0.27,0.7
32628,1.78,0.76,1.0,2.68,-0.38,2.05,2.3
32629,1.71,1.55,1.0,3.71,-1.23,2.18,2.49
32630,3.39,-0.54,1.0,2.04,1.28,5.52,3.32
32631,1.85,-2.82,0.0,-0.58,-1.38,-1.51,-1.97
32632,1.52,-1.99,1.0,-1.29,-0.56,-1.87,-1.85
32633,3.27,-0.41,1.0,-0.14,-0.12,1.76,-0.26
32634,1.2,-1.17,1.0,-1.25,0.88,0.08,-0.37
32635,1.86,-0.18,1.0,0.98,0.26,2.84,1.24
32636,1.11,-0.67,1.0,0.12,0.21,-1.46,0.33
32637,2.59,-0.24,1.0,1.83,-0.01,0.5,1.82
32638,2.47,0.38,1.0,2.71,1.32,4.19,4.02
32639,3.9,-0.18,0.0,2.38,0.66,3.22,3.04
32640,0.09,-0.57,1.0,0.78,0.0,0.71,0.79
32641,1.51,1.27,1.0,1.24,-0.95,-0.56,0.29
32642,2.33,-1.22,1.0,1.43,1.7,3.26,3.12
32643,1.51,0.15,1.0,3.6,-0.13,4.44,3.47
32644,1.95,0.33,0.0,1.32,0.06,2.24,1.38
32645,2.26,2.08,1.0,4.55,-6.17,-2.95,-1.63
32646,2.61,-0.24,1.0,3.88,-0.11,1.68,3.77
32647,2.5,-0.51,1.0,1.0,-0.48,0.15,0.51
32648,3.4,-1.05,1.0,2.93,0.17,5.23,3.1
32649,2.19,-0.84,1.0,0.14,1.52,1.44,1.66
32650,2.49,1.19,0.0,4.03,1.53,4.29,5.56
32651,1.49,-0.48,0.0,0.88,-0.11,0.64,0.77
